Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,4.7uF,C307423
"C2, C4",0603,2,100nF,C1525
C3,0603,1,10nF,C1525
C5,0603,1,1uF,C1525
C6,0603,1,10uF,C307415
C7,0603,1,4.7uF,C1525
D1,D_SOD-323,1,B5819W,C22624
"D2, D3, D4",0603,3,Red,C130719
J1,JST_GH_SM10B-GHS-TB_10x1.25mm_Angled,1,GH 1.25mm 10P,C133065
J2,USB_C_Receptacle_GCT_USB4110,1,USB_C_USB2.0_14P,C709031
J3,SMA_EdgeMount,1,SMA,
J5,JST_GH_SM06B-GHS-TB_06x1.25mm_Angled,1,GH 1.25mm 6P,C133065
L1,VLS201610ET-2R2M,1,2.2u,C114768
"R1, R2",0603,2,5k1,C25905
"R10, R3, R9",0603,3,10k, C25079
"R11, R12, R13",0603,3,120, C25079
R14,0603,1,0, C25079
R15,0603,1,10k,C25531
R5,0603,1,52k3,C2998050
U1,TSSOP20,1,STM32F042F4P6TR,
U2,HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm,1,TPS62842DGR,
U3,SOT-23-6,1,USBLC6-2SC6,C7519
U4,E22-XXXT33S,1,E22-900T33S,
