Designator,Mid X,Mid Y,Rotation,Layer
C1,108.308,-72.912,180.0,bottom
C2,90.058,-86.476,270.0,bottom
C3,103.034,-86.489,270.0,bottom
C4,91.558,-86.476,270.0,bottom
C5,104.558,-86.476,270.0,bottom
C6,110.808,-77.476,90.0,bottom
C7,93.058,-86.476,270.0,bottom
D1,87.558,-77.726,90.0,bottom
D2,106.558,-125.726,90.0,top
D3,103.058,-125.726,90.0,top
D4,99.558,-125.726,90.0,top
J1,94.558,-73.522,0.0,bottom
J2,93.058,-73.976,180.0,top
J3,92.946,-125.1175,270.0,top
J5,107.316,-73.576,0.0,top
L1,108.808,-81.286,180.0,bottom
R1,96.058,-77.976,180.0,bottom
R10,93.058,-99.238,180.0,bottom
R11,108.058,-125.726,90.0,top
R12,104.558,-125.726,90.0,top
R13,101.058,-125.726,90.0,top
R14,109.308,-85.726,270.0,bottom
R15,93.058,-94.226,0.0,bottom
R2,90.058,-77.976,0.0,bottom
R3,103.808,-83.476,0.0,bottom
R5,105.308,-80.024,90.0,bottom
R9,93.058,-96.726,180.0,bottom
U1,98.058,-86.476,0.0,bottom
U2,107.808,-76.976,90.0,bottom
U3,93.058,-80.226,0.0,bottom
U4,100.0,-100.0,0.0,top
